No;GNP;Investment;Price;Interest;RealGNP;RealInv;RealInt
1;596.7;90.9;0.7167;3.23;832.5659272;126.8313102;NA
2;637.7;97.4;0.7277;3.55;876.3226604;133.8463653;2.015187666
3;691.1;113.5;0.7436;4.04;929.3975256;152.6358257;1.855033668
4;756;125.7;0.7676;4.5;984.8879625;163.7571652;1.272458311
5;799.6;122.8;0.7906;4.19;1011.383759;155.3250696;1.193647733
6;873.4;133.3;0.8254;5.16;1058.153622;161.4974558;0.758279788
7;944;149.3;0.8679;5.87;1087.682913;172.0244268;0.720981342
8;992.7;144.2;0.9145;5.95;1085.511208;157.6817933;0.580717825
9;1077.6;166.4;0.9601;4.88;1122.383085;173.3152797;-0.106331329
10;1185.9;195;1;4.5;1185.9;195;0.344182898
11;1326.4;229.8;1.0575;6.44;1254.27896;217.3049645;0.69
12;1434.2;228.7;1.1508;7.83;1246.263469;198.7313173;-0.992695035
13;1549.2;206.1;1.2579;6.25;1231.576437;163.8445027;-3.056569343
14;1718;257.9;1.3234;5.5;1298.171377;194.8768324;0.292908816
15;1918.3;324.1;1.4005;5.46;1369.725098;231.4173509;-0.365902977
16;2163.9;386.6;1.5042;7.46;1438.571998;257.013695;0.055501607
17;2417.8;423;1.6342;10.28;1479.500673;258.842247;1.637532243
18;2631.7;401.9;1.7842;11.77;1475.002802;225.2550163;2.591196916
19;2954.1;474.9;1.9514;13.42;1513.83622;243.3637389;4.048853268
20;3073;414.5;2.0688;11.02;1485.402166;200.3576953;5.003806498
